"","rule","precision","recall"
"21","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.87425175,0.56034792
"22","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.87156308,0.54611819
"23","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.86792392,0.56849065
"24","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.86511942,0.55426092
"25","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.8001828,0.78889655
"26","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.79523375,0.75649172
"27","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.78961581,0.78961581
"28","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.78902397,0.78902397
"29","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.78055866,0.75349904
"30","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.76943982,0.78051238
"31","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.62177256,0.59588624
"32","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.62149345,0.60832769
"33","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.62071322,0.62071322
"34","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.62062681,0.60827177
"35","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.57970937,0.39485546
"36","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.57970937,0.39485546
"37","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.5786005,0.39258274
"38","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.5786005,0.39258274
"39","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.57158994,0.39741956
"40","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.57090747,0.40012226
"41","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.57048107,0.39514684
"42","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.56981494,0.83423335
"43","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.56875693,0.39514684
"44","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.56633622,0.85667626
"45","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.55688718,0.85936203
"46","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.4774279,0.46386257
"47","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.4774279,0.46386257
"48","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.47601661,0.46073757
"49","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.47601661,0.46073757
"50","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.46964807,0.46649415
"51","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.46952445,0.46952445
"52","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.46823678,0.46336915
"53","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.4668821,0.46336915
"54","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.41000403,0.55220547
"55","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.40598281,0.55987592
"56","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.40477491,0.5593825
"57","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.40111921,0.56705295
"58","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.39710638,0.79761325
