"","rule","precision","recall"
"50","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.46964807,0.46649415
"51","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.46952445,0.46952445
"52","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.46823678,0.46336915
"53","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.4668821,0.46336915
"54","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.41000403,0.55220547
"55","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.40598281,0.55987592
"56","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.40477491,0.5593825
"57","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.40111921,0.56705295
"58","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.39710638,0.79761325
"59","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.39387793,0.81806262
"60","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.38181139,0.80791529
